"mouse_ID","Group","Sex","ctrl_injection_site","# Marbles Buried","Digging Duration","Grooming Duration","Rearing Duration","Thigmotaxis Duration (Phase1)","Thigmotaxis Duration (Phase2)","Thigmotaxis Duration (Phase3)","Thigmotaxis Duration (Phase4)","Avg Speed (Phase1)","Avg Speed (Phase2)","Avg Speed (Phase3)","Avg Speed (Phase4)","Distance Moved","Head Dip Count","Open Arm Entrance Count","Open Arm Duration","Total Licks","Sucrose Preference Ratio (Whole 2hrs)","First 30 min. Sucr. / Total Sucr.","Last 30 min. Sucr. / Total Sucr.","First 30 min. Water / Total Water","Last 30 min. Water / Total Water","First 30 min. Liquid / Total Liquid","Last 30 min. Liquid / Total Liquid","Sucr. Pref. Ratio (First 30 Mins.)","Sucr. Pref. Ratio (Last 30 Mins.)","Preference Change Index","Time to 50% Sucr. Lick","Time to 50% Water Lick","Norm. Food Consumption","Avg. Inter-Feeding Interval","Latency to First Feeding","Consumption Rate","Ratio of Early Feeding","Ratio of Late Feeding","Satiety Index","Time to 50% Feeding","Coeff. Var: Inter-Feeding Interval","Fear Cond.: Last Session Frz.","Context Recall: 1st Half Frz.","Context Recall: 2nd Half Frz.","Context Recall: dFrz. (1st Half - 2nd Half)","Context Recall: Frz. (Whole Session)","CS Recall: Pre-Onset Frz.","CS Recall: Frz. (First 2 Sessions)","CS Recall: Frz. (Last 2 Sessions)","CS Recall: First - Last","Active Coping Duration","Temporal AUC: Active Coping","Inactive Duration (Day1)","Inactive Duration (Day2)","Delta Inactive Duration (Day2 - Day1)","Temporal AUC: Inactive (Day1)","Temporal AUC: Inactive (Day2)"
"m01","BG_1","M",,5,0.0728,0.1037,0.139,201.1,119.633333333333,180.266666666667,58.8333333333333,2.12454075656345,1.35722575616252,1.9440374314488,1.0413967003835,15444.55154,6,9,53.6115,439,0.865603644646925,0.368421052631579,0.302631578947368,0.389830508474576,0.186440677966102,0.37129840546697,0.287015945330296,0.858895705521472,0.912698412698413,-0.030369657826027,2840.0486,2638.6507,1.72727272727273,186.324324324324,288,0.316666666666667,11,2,0.692307692307692,3486,1.42048479938978,0.0653,0.1229,0.1056,0.0173,0.2285,0.0045,0.0482,0.0076,0.0406,0.4588,-392.5274,0.1475,0.1076,-0.0399,9110.2925,7221.7914
"m02","HPC_1","F",,12,0.1879,0.077,0.0671,243.433333333333,199.3,162.966666666667,114.3,3.62958140333324,2.91582182418762,2.57487325307353,1.57525851622674,26573.08582,17,14,112.7081,209,0.842105263157895,0.494318181818182,0.284090909090909,0.424242424242424,0.090909090909091,0.483253588516746,0.253588516746411,0.861386138613861,0.943396226415094,-0.045440430597247,1886.1884,1965.0122,2.17391304347826,141.477272727273,591,0.375,10,14,-0.166666666666667,4334,1.24991455697249,0.2002,0.0819,0.1949,-0.113,0.2768,0.0036,0.3499,0.3467,0.0032,0.6855,-2675.5291,0.2222,0.3638,0.1416,5656.5714,8056.2385
"m03","HPC_1","F",,10,0.16,0.0702,0.0717,303.233333333333,238.2,240.366666666667,201.766666666667,4.06446642321426,3.02891326652292,2.85237089466323,2.11616306632262,22785.18588,8,9,70.4054,334,0.610778443113772,0.583333333333333,0.186274509803922,0.823076923076923,0.046153846153846,0.676646706586826,0.131736526946108,0.526548672566372,0.863636363636364,-0.242476851851852,1457.5794,304.4316,1.32352941176471,267.692307692308,221,0.225,7,7,0,3832,1.02569590721027,0.3629,0.1077,0.2768,-0.1691,0.3845,0.0108,0.1026,0.3785,-0.2759,0.3672,-2739.4564,0.5117,0.6374,0.1257,4737.0937,655.7703
"m04","HPC_1","F",,15,0.2204,0.0604,0.0528,277.6,165.833333333333,198.533333333333,187.066666666667,4.05727892888807,2.42672455470965,2.42993031743369,1.95932454607795,23757.9948,21,18,151.1033,389,0.825192802056555,0.392523364485981,0.317757009345794,0.426470588235294,0.191176470588235,0.398457583547558,0.295629820051414,0.812903225806452,0.88695652173913,-0.043564356435644,3260.1069,2033.3178,2.14634146341463,159.46511627907,259,0.366666666666667,15,8,0.304347826086957,2623,1.12225174297623,0.3438,0.3155,0.3747,-0.0592,0.6902,0.0821,0.2471,0.1988,0.0483,0.2232,-6985.0431,0.5324,0.7119,0.1795,6230.4574,638.3623
"m05","BSLT_1","M",,8,0.1594,0.0804,0.1363,264.433333333333,195.666666666667,154.633333333333,120.466666666667,2.80294288059377,1.92167245100258,2.23687110838466,1.82272661219533,16904.83598,3,2,8.6858,237,0.772151898734177,0.688524590163934,0.262295081967213,0.703703703703704,0.222222222222222,0.691983122362869,0.253164556962025,0.768292682926829,0.8,-0.020217729393468,1066.3759,1199.1348,1.17241379310345,190.484848484848,343,0.283333333333333,13,8,0.238095238095238,2534,1.04076777534095,0.1229,0.2236,0.3748,-0.1512,0.5984,0.0207,0.2176,0.0592,0.1584,0.1992,-5616.4957,0.7628,0.789,0.0262,2721.8964,1273.7268
"m06","BSLT_1","M",,8,0.1413,0.0824,0.1369,226.4,124.233333333333,186,152.466666666667,3.02760803366003,1.86425696929454,2.02332889534653,1.78859398104417,24152.50788,5,14,79.8532,156,0.551282051282051,0.267441860465116,0.63953488372093,0.357142857142857,0.214285714285714,0.307692307692308,0.448717948717949,0.479166666666667,0.785714285714286,-0.242352941176471,5560.93,2645.7759,0.337078651685393,530,1344,0.1,4,1,0.6,1963,1.70408530548593,0.3448,0.3542,0.5324,-0.1782,0.8866,0.0217,0.4688,0.4796,-0.0108,0.2274,1295.1622,0.5266,0.8016,0.275,2254.9089,887.4889
"m07","BSLT_1","M",,9,0.2143,0.1179,0.0881,227.033333333333,153.433333333333,239.6,211.766666666667,3.82522858316125,2.20506460773808,2.27492127783377,1.68454818902121,21267.53552,6,5,28.2409,75,0.373333333333333,1,0,0.340425531914894,0.276595744680851,0.586666666666667,0.173333333333333,0.636363636363636,0,1,643.147,2880.1019,0.892857142857143,234.291666666667,705,0.208333333333333,8,1,0.777777777777778,2225,1.22022075563724,0.1456,0.2061,0.2653,-0.0592,0.4714,0.0311,0.3175,0.1737,0.1438,0.4368,-3144.2094,0.6444,0.8392,0.1948,2726.8153,736.6001
"m08","BG_1","M",,0,0.0283,0.0425,0.1306,263.4,249.933333333333,238.1,180.2,5.23925399427476,3.44873164291071,3.34004276628827,2.2027332029607,34057.01675,6,7,54.0585,267,0.651685393258427,0.310344827586207,0.252873563218391,0.698924731182796,0.129032258064516,0.445692883895131,0.209737827715356,0.453781512605042,0.785714285714286,-0.267796610169492,2891.1756,1036.8728,1.78260869565217,172.65,52,0.341666666666667,17,4,0.619047619047619,2086,1.2528219803183,0.173,0.1397,0.2184,-0.0787,0.3581,0.0037,0.0391,0.0074,0.0317,0.2736,-5208.1386,0.2231,0.4595,0.2364,7709.0262,5286.4562
"m09","BSLT_1","M",,1,0.0751,0.1002,0.1004,237.1,153.3,133.733333333333,186.833333333333,4.3811461163607,2.27876160782146,2.07694257096242,1.54762226192682,15953.73112,10,10,40.2507,295,0.694915254237288,0.175609756097561,0.331707317073171,0.555555555555556,0.166666666666667,0.291525423728814,0.28135593220339,0.418604651162791,0.819277108433735,-0.323675871435038,3954.6495,884.162,0.467625899280576,505.416666666667,395,0.108333333333333,5,2,0.428571428571429,2455,1.08581236320391,0.0982,0.3261,0.2738,0.0523,0.5999,0.0452,0.2681,0.2198,0.0483,0.2147,-3901.02,0.5976,0.8317,0.2341,3492.0371,627.4774
"m10","BG_1","M",,4,0.1128,0.0413,0.1251,277.366666666667,294.6,279.866666666667,200.333333333333,2.95822791131595,2.26180902446091,1.7605720927846,1.86248483590603,20557.02962,15,13,105.6707,319,0.874608150470219,0.265232974910394,0.480286738351254,0.4,0.225,0.282131661442006,0.448275862068966,0.822222222222222,0.937062937062937,-0.065276919000088,4684.4133,2954.5511,1.61654135338346,169.142857142857,91,0.358333333333333,14,17,-0.096774193548387,4186,1.29534483545586,0.1448,0.2015,0.0837,0.1178,0.2852,0.0037,0.1863,0.0952,0.0911,0.2885,-4251.1474,0.0651,0.1452,0.0801,16775.4656,7435.6597
